time,lon,lat,depth,mag
2022-11-08T08:51:16.076000Z,-70.7494,-33.6667,90.037,5.0
2022-11-08T01:28:39.849000Z,-66.9549,-24.1238,184.921,4.5
2022-11-07T18:42:33.566000Z,-69.8733,-20.3422,67.344,3.3
2022-11-06T10:05:08.598000Z,-70.2257,-20.8992,36.201,3.7
2022-11-06T07:08:07.025000Z,-70.2188,-17.5561,27.493,5.0
2022-11-06T01:16:56.764000Z,-68.9267,-21.1257,112.374,4.5
2022-11-05T16:10:42.094000Z,-67.0018,-24.1556,158.839,4.3
2022-11-05T12:12:39.663000Z,-68.5459,-33.3967,33.557,5.1
2022-11-05T07:57:20.932000Z,-73.6907,-35.5483,18.019,5.0
2022-11-04T14:39:03.852000Z,-70.7254,-20.1671,20.269,5.0
2022-11-04T13:45:56.696000Z,-70.5605,-20.1802,31.512,4.1
2022-11-04T05:40:43.095000Z,-69.6521,-17.8207,154.541,4.4
2022-11-04T00:37:58.370000Z,-68.4575,-21.7643,106.012,4.4
2022-11-03T20:56:35.023000Z,-73.1249,-14.2593,77.47,4.4
2022-11-03T14:37:27.960000Z,-71.1727,-27.7958,35.0,4.7
2022-11-03T01:14:25.645000Z,-80.8436,-5.3137,49.982,4.5
2022-11-02T22:19:24.826000Z,-70.1092,-19.2208,66.421,4.0
2022-11-02T05:06:43.780000Z,-76.2688,-2.428,149.645,4.6
2022-11-02T02:38:00.516000Z,-68.868,-22.3131,112.76,5.3
2022-11-01T12:47:28.776000Z,-78.3947,-10.2217,58.091,4.4
2022-11-01T07:56:31.354000Z,-66.722,-20.7465,257.913,4.1
2022-11-01T01:33:41.441000Z,-67.4268,-21.1696,174.007,4.4
2022-10-31T14:18:28.930000Z,-76.1953,-14.4814,18.952,4.8
2022-10-31T13:25:45.846000Z,-76.0005,-14.223,33.662,5.0
2022-10-31T13:22:43.968000Z,-76.2179,-2.4099,147.693,5.6
2022-10-31T08:51:10.870000Z,-67.5143,-24.2767,220.22,4.3
2022-10-31T03:50:02.856000Z,-74.0939,-16.3138,33.357,4.4
2022-10-30T23:24:45.520000Z,-76.4854,-14.9207,10.0,4.6
2022-10-30T13:03:45.759000Z,-71.8862,-15.9824,138.155,4.6
2022-10-29T22:24:05.064000Z,-76.1413,-14.4147,10.0,4.8
2022-10-29T22:22:31.126000Z,-76.2242,-14.4238,10.0,4.9
2022-10-29T22:18:38.524000Z,-70.7566,-15.41,184.89,4.4
2022-10-29T20:45:35.345000Z,-76.1584,-14.3867,26.376,5.1
2022-10-29T14:17:25.493000Z,-76.4096,-14.6331,10.0,4.7
2022-10-29T13:58:44.281000Z,-71.4323,-28.7044,35.412,4.7
2022-10-29T11:40:18.307000Z,-66.9006,-19.002,262.38,5.1
2022-10-29T07:31:52.850000Z,-76.2805,-14.6624,30.463,4.5
2022-10-29T03:26:24.769000Z,-76.2549,-14.4552,19.97,4.5
2022-10-29T00:39:30.069000Z,-76.3695,-14.7016,10.0,4.3
2022-10-29T00:13:38.568000Z,-76.3282,-14.4142,10.0,4.9
2022-10-29T00:09:47.791000Z,-76.2261,-14.5133,15.0,5.8
2022-10-29T00:09:29.081000Z,-76.2302,-14.6643,10.0,4.8
